昵称,id,学历,学校,学院,专业,经验,简介
Frankie,5afbe74e04bad5e72c7ba622,学生,中南财经政法大学,金融学院,Economics / Finance,一只金融狗,
ILfreedom,5afac16474e96aa741313f16,博士一年级,康涅狄格大学,经济,Economics,,
不打折。,5afa9ba304bad5e72c7ba5fb,学生,Brandeis University,心理学元,Psychology,在心理学的泥潭里摸爬滚打五年了，主攻文化&社会方向,"本科在中科院心理所做研究助理，研究自我确认理论在中国的应用；
研究生在读，现研究课题为跨文化经验对自我认知和自我概念的影响。"
夏火华,5af98a0f74e96aa741313f00,学生,中山大学,心理学系,Psychology,,
连理枝,5af992b504bad5e72c7ba5df,学生,华东师范大学,特殊教育学系,Education,"1、华东师范大学，特殊教育研究生
2、喜欢读书
3、爱好旅游
4、衷交朋友",
Jieyu,5af7e5ba74e96aa741313ebd,研究助理,上海财经大学,商学院消费者研究中心,Social Sciences,关注积极心理学、消费行为和金融。1%的INFJ-A，想用学术和实际的方式改变世界。,本科上海财经大学金融专业，于2016年起在消费者行为研究中心(iCBS)任研究助理至今。除了没发过论文，其他心理专业研究生该干的基本都干过。
Jeanine ,5af8424004bad5e72c7ba5cd,学生,河北师范大学,英语,Education,Academic,
羊咩咩,5af7f73904bad5e72c7ba5cb,学术,中南财经政法大学,工商管理学院,Business Administation / Management Science,正在为论文焦头烂额的研究僧,
尹相文,5af7832004bad5e72c7ba5c5,学生,浙江师范大学,教师教育学院,Psychology,准心理学研究生,
杨明婉,5af669ba04bad5e72c7ba5b5,博士,华南农业大学,经济管理学院,Economics,华南农业大学博士研究生,农村金融
PhilHE,5af5332c04bad5e72c7ba580,机械电子大三在读,同济大学,机械与能源工程学院,Engineering,,
东直门,5af3bd3274e96aa741313e30,学生,暨南大学,管理学院,Psychology,简单介绍,
刘海军,5af3bfb304bad5e72c7ba527,学生,厦大,经院,Economics / Finance,厦大研究生,
jiajia,5af1db9674e96aa741313e17,博士生,财大,商学院,Social Sciences,love myself,研究生阶段主要从事消费者行为研究。热爱这门事业，希望自己能成为一个受人尊敬的学者
阿豆,5af18bcf74e96aa741313e15,硕士生,云南师范大学,教管学院,Psychology,,
丁一,5af1532a74e96aa741313e12,学生,华东师范大学,心理与认知科学学院,Psychology,"华东师范大学
基础心理学
兴趣领域：语言、儿童、社会互动",
西瓜琦,5af109db04bad5e72c7ba50b,硕士生,河南大学,心理与行为研究所,Psychology,,
唐宋八大家,5af1030604bad5e72c7ba50a,学生,西南大学家蚕基因组生物学国家重点实验室,生物技术学院,Biological Sciences,生物技术科研狗,
火星人李小小,5af0fb8e74e96aa741313e0d,博士生,交通大学,医学院,Medicine,苦逼的医学博士生,
畅然呼吸,5aefff4974e96aa741313e06,博士生,重庆大学,经管学院,Business Administation / Management Science,作为一个新手，要好好学习如何做研究,作为一名新手，才刚刚开始学习如何做研究，期待一切顺利
